,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
85,Care For Obesity,,"1. BHADRA ASANA
2. JAALANDHARA BANDHA
3. UDDEEYANAA BANDHA
4. AGNEESHOMA KUMBHAKA
5. VYAANA KUMBHAKA
6. DAKSHINAAVARTA CHAKRA KUMBHAKA","1. BHADRA ASANA
1. Bend both the legs to the back, keep the feet facing up and Sit on it
2. Take both your hands to the back and hold your right toes with the left hand and left toes with 
the right hand
3. Do Jaalandhara bandha, contract your throat, bend your chin and rest it on your chest
4. Concentrate your gaze on the tip of your nose
5. Remain in this pose for 30 seconds and release the Jaalandhara bandha","2. JAALANDHARA BANDHA
1. Stay on Bhadrasana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Hold as long as possible judiciously
5. When you can't hold anymore, Release the throat lock and exhale slowly
6. Do this 21 times","3. UDDEEYANAA BANDHA 
1. Stand and Keep about half-a-metre gap between your feet
2. Bend the knees slightly and rest your palms above the knees with the thumbs facing inwards 
and the fingers outwards. 
3. Keep the spine straight. Head should be up and eyes open 
4. Take a deep breath in and exhale completely, but do not be forceful. 
403
5. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders. 
6. Pull the abdominal muscles inward so that the organs of the abdomen touch the back muscles 
7. Hold as long as you can. 
8. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release 
jaalandhara bandha by raising the head, and stand straight. 
9. Then inhale through the nostrils slowly. 
10. Before repeating another round, breathe normally for a minute or two. 
11. Initially start with 3 times and gradually increase upto 10 times","4. AGNEESHOMA KUMBHAKA 
1. Inhale through the right nostril
2. Hold the breath
3. Exhale through the left nostril
404
4. Now inhale through left nostril 
5. Hold the breath
6. Exhale through right nostril.
7. Do this 21 times","5. VYAANA KUMBHAKA 
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 time","6. DAKSHINAAVARTA CHAKRA KUMBHAKA
1. Inhale through right nostril
2. Hold the breath as long as you can judiciously
3. Exhale through the left nostril
4. Again inhale through right nostril
5. Exhale through the left nostril
6. Repeat this 21 times.",,,,,,,,
86,Cure For Obesity,,"1. ANJANEE ASANA
2. UDDEEYAANA BANDHA
3. AGNEESHOMA KUMBHAKA
4. VYAANA KUMBHAKA
5. DAKSHINAAVARTA CHAKRA KUMBHAKA
6. GOMUKHA ASANA
7. GADAA KUMBHAKA
8. KUMBHA RAAJAA
9. UJJAAYEE KUMBHAKA","1. ANJANEE ASANA
1. Sit with legs stretched keeping the heels on the ground and toes pointing upward.
2. Place both the hands under the buttocks, palms facing upward and fingers closed together.
3. Bring the elbows close to the body as much as possible.
4. Gaze at the center of the eyebrows.
5. Remain in this pose 60 seconds","2. UDDEEYAANA BANDHA
1. Stay on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
6. When you can’t hold anymore, before inhaling, relax the stomach and abdomen, release 
jaalandhara bandha by raising the head, and stand straight
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase up to 10 times","3. AGNEESHOMA KUMBHAKA 
1. Inhale through the right nostril
2. Hold the breath
3. Exhale through the left nostril
4. Now inhale through left nostril 
5. Hold the breath
6. Exhale through right nostril.
7. Do this 21 times","4. VYAANA KUMBHAKA 
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 times","5. DAKSHINAAVARTA CHAKRA KUMBHAKA 
1. Inhale through right nostril
2. Hold the breath as long as you can judiciously
3. Exhale through the left nostril
4. Again inhale through right nostril
5. Hold the breath as long as you can judiciously
6. Exhale through the left nostril
7. Do this 21 times","6. GOMUKHA ASANA 
1. Bend the knees and place the right foot so that the left heel touches the side of the buttock.
2. Then bend the leg over the right thigh so that the heel is placed close to the right buttock. 
3. Rest the hands on the upper knee, on top of the other.
4. Stay on this pose for 60 seconds","7. GADAA KUMBHAKA 
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times","8. KUMBHA RAAJAA 
1. Inhale forcefully 
2. Hold the breath to the maximum capacity by closing the nostrils
3. Exhale when you feel you can not hold more.
4. Do this 21 times","9. UJJAAYEE KUMBHAKA
1. Close your Mouth
2. Inhale through both the nostrils
3. Hold as long as you can judiciously
4. Exhale slowly through the left nostril
5. Do this 21 times",,,,,
87,CARE FOR POLYCYSTIC OVARIES,,"1. MULA BANDHA
2. UDDEEYAANA BANDHA
3. JALANDHARA BANDHA","1. MULA BANDHA
1. Keep the left heel between the genitals and anus
2. Contract the anus
3. Contract the intestines near the navel such that it touches the back
4. Keep the right heel pressed on the genitals","2. UDDEEYAANA BANDHA
1. Sit on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising the 
shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back muscles
5. Hold as long as you can
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jalandhara by raising the head
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","3. JALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the pose and the throat lock while exhaling slowly
7. Do this 21 times",,,,,,,,,,,
88,Cure For Post-Traumatic Stress Disorder,,"1. DURVAASA ASANA
2. VYAANA KUMBHAKA
3. NAAGA KUMBHAKA
4. AGNEE SOMA KUMBHAKA","1. DURVAASA ASANA
1. Sit on the floor
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is placed 
near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands above the genitals
6. Fix the gaze at the eye brow center","2. VYAANA KUMBHAKA
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 times","3. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","4. AGNEE SOMA KUMBHAKA
1. Inhale through the right nostril
420
2. Hold the breath as long as you can, judiciously
3. Exhale through the left nostril
4. Then again inhale through the left nostril
5. Hold the breath as long as you can, judiciously
6. Exhale through right nostril
7. Do this 21 times",,,,,,,,,,
89,Care For Pulmonary Disease,,"1. PADMA ASANA
2. LAHARI PRAANAAYAAMAA
3. KAPAALABHAATI
4. SHOONYAKA KUMBHAKA
5. KEVALEE KUMBHAKA
6. VAAMAGATI KUMBHAKA","1. PADMA ASANA (BADDHA)
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Cross the hands behind the back and firmly catch hold of the great toes of the feet so crossed
4. Place the chin on the chest and fix the gaze on the tip of the nose (this posture is called the 
Padmaasanam(or lotus posture). This posture destroys all diseases)
5. Settle in this posture for 30 seconds","2. LAHARI PRAANAAYAAMAA

TECHNIQUE
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this for 3 minutes
IN PADMA ASANA, NEXT","3. KAPAALABHAATI PRAANAAYAAMAA
1. Breath out short and fast as you pull your abdomen in and up. 
2. Allow the body to inhale by itself 
3. Do this 21 times","4. SHOONYAKA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as you can
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times","5. KEVALEE KUMBHAKA
1. Inhale through the right nostril along with the internal chanting of the mantra 'sam'
2. Hold as long as you can judiciously
3. While holding the breath, chant internally the mantra 'soham' slowly.
4. Exhale through the left nostril with the internal chanting of the mantra 'ham'
424
5. Do this 21 times","6. VAAMAGATI KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath as long as possible judiciously
3. Exhale through both the nostrils.
4. Repeat this 21 times",,,,,,,,
90,Cure For Pulmonary Disease,,"1. BHADRA ASANA
2. PLAAVINEE KUMBHAKA
3. KAMALA KUMBHAKA
4. KUMUDA KUMBHAKA
5. KRAMANETRA KUMBHAKA
6. TRINETRA KUMBHAKA","1. BHADRA ASANA
1. Place the heels adjacent to each other and close to the perineum
2. Hold the feet with hands
3. Remain steady for 30 seconds","2. PLAAVINEE KUMBHAKA
1. Stay on same posture
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
6. Do this 21 times","3. KAMALA KUMBHAKA 
1. Inhale through the right nostril
2. Retain the breath as long as you can judiciously
3. Exhale through the left nostril
4. Do this 21 times","4. KUMUDA KUMBHAKA 
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times","5. KRAMANETRA KUMBHAKA 
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times","6. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
429
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",,,,,,,,
91,Care For Rapid Recovery From Illness,,"1. ANJANEE ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. TRINETRA KUMBHAKA
5. TRISHOOLA KUMBHAKA
6. KRAMANETRA KUMBHAKA","1. ANJANEE ASANA
1. Sit with legs stretched keeping the heels on the ground and toes pointing upward.
2. Place both the hands under the buttocks, palms facing upward and fingers closed together.
3. Bring the elbows close to the body as much as possible.
4. Gaze at the center of the eyebrows.","2. SHEETHALEE KUMBHAKA 
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","3. SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
433
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this for 7minutes","4. TRINETRA KUMBHAKA 
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times","5. TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times
IN ANJANEE ANSANA, NEXT","6. KRAMANETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,,
92,Cure For Rapid Recovery From Illness,,"1. ANASOOYA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. TRINETRA KUMBHAKA
5. TRISHOOLA KUMBHAKA
6. KRAMANETRA KUMBHAKA","1. ANASOOYA ASANA
1. Place one knee above the other
2. Hold the hands from the back
3. Bend down to touch the nose on the ground
4. Gaze at the tip of the nose
5. Remain in this pose 30 seconds","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times
IN ANASOOYA ASANA, NEXT","3. SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. TRINETRA KUMBHAKA 
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times","5. TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times","6. KRAMANETRA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Inhale through the left nostril
4. Hold the breath
5. Exhale through the right nostril
6. Hold the breath
7. Exhale through the left nostril
8. Hold the breath
9. Do this 21 times",,,,,,,,
93,Care For Schizophrenia,,"1. NETI ASANA
2. VYAANA KUMBHAKA
3. NAAGA KUMBHAKA
4. SAHITA KUMBHAKA
5. SHOONYAKA KUMBHAKA
6. PANJA ASANA
7. BHOROLIKAA
8. KEVALA KUMBHAKA","1. NETI ASANA
1. Sit with legs stretched
2. Keep the left foot on the right knee and right foot under the left knee
3. Hold the elbows with the opposite hands
4. Extend it forward
5. Lika a churner, churn both the arms in this position
6. Fix the gaze at the nose tip
7. Do it slowly for 30 seconds","2. VYAANA KUMBHAKA
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 times","3. NAAGA KUMBHAKA 
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","4. SAHITA KUMBHAKA 
1. Inhale the breath through both the nostrils and mouth
2. Hold the breath as long as you can judiciously
3. Exhale slowly through both the nostrils 
4. Do this 21 times","5. SHOONYAKA KUMBHAKA 
1. Exhale completely
2. Hold the breath outside as long as you can
444
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times","6. PANJA ASANA 
1. Stand on your toes
2. Cross your hands and tie your hands
3. Hold the hands close to the chest
4. Remain in this pose for 30 seconds","7. BHOROLIKAA
1. Along with the a humming sound inhale completely
2. Without using the fingers to close the nose retain the breath inside as long as you can
3. When you can't hold more, release the breath through the nostrils without humming
4. Repeat this 21 times","8. KEVALA KUMBHAKA
1. Hold the breath automatically without inhalation or exhalation specifically.
2. When you cannot hold anymore relax
3. Allow the breathing to become normal
4. Do this 21 times",,,,,,
94,Cure For Schizophrenia,,"1. KUBAANAASANA
2. VYAANA KUMBHAKA
3. NAAGA KUMBHAKA
4. SAHITA KUMBHAKA
5. SHOONYAKA KUMBHAKA
6. KOCHAKA ASANA
7. BHOROLIKAA KUMBHAKA
8. KEVALA KUMBHAKA","1. KUBAANAASANA
1. Stay on the floor
2. Place the left foot at the base of the right thigh
3. Having bent the right knee, place the right foot near the left knee
4. Let the left elbow come outside the right knee
5. Now hold the right toes with the left hand
6. Keep the right thump on the right ear with other fingers also stretched.
7. Remain in this pose for 30 seconds","2. VYAANA KUMBHAKA
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 times","3. NAAGA KUMBHAKA 
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","4. SAHITA KUMBHAKA 
1. Inhale the breath through both the nostrils and mouth
2. Hold the breath as long as you can judiciously
3. Exhale slowly through both the nostrils 
4. Do this 21 times","5. SHOONYAKA KUMBHAKA 
1. Exhale completely
2. Hold the breath outside as long as you can
444
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times","6. PANJA ASANA 
1. Stand on your toes
2. Cross your hands and tie your hands
3. Hold the hands close to the chest
4. Remain in this pose for 30 seconds","7. BHOROLIKAA
1. Along with the a humming sound inhale completely
2. Without using the fingers to close the nose retain the breath inside as long as you can
3. When you can't hold more, release the breath through the nostrils without humming
4. Repeat this 21 times","8. KEVALA KUMBHAKA
1. Hold the breath automatically without inhalation or exhalation specifically.
2. When you cannot hold anymore relax
3. Allow the breathing to become normal
4. Do this 21 times",,,,,,
95,Care For Short-Sightedness,,"1. AGHORA ASANA
2. KAPAALABHAATI
3. LAHARI PRAANAAYAAMAA
4. ANDOLI PRAANAAYAAMAA","1. AGHORA ASANA
1. Sit with heels of the feet together
2. Spread the knees apart
3. The right palm should be placed on the mouth
4. Turn the tongue backwards
5. Through the right nostril inhale
6. Hold as long as possible judiciously
7. Exhale through the left nostril
8. Now place the left palm on the mouth
9. Inhale through left nostril 
10. Hold as long as possible judiciously
11. Exhale through the right nostril
12. Similarly alternate and repeat the inhalation and exhalation for 3 minutes","2. KAPAALABHAATI
1. Breath out short and fast as you pull your abdomen in and up.
2. Allow the body to inhale by itself
3. Do this 21 times","3. LAHARI PRAANAAYAAMAA 
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this 21 times","4. ANDOLI PRAANAAYAAMAA
1. As you Breath roll your tongue
2. Breath through your nose and mouth
3. When you feel full close the mouth by rolling the tongue and touching the top of the mouth
4. Slowly exhale through your nose
5. Repeat this 21 times",,,,,,,,,,
96,Cure For Short-Sightedness,,"1. ANASOOYA ASANA
2. KAPAALABHAATI
3. LAHARI PRAANAAYAAMAA
4. ANDOLI PRAANAAYAAMAA","1. ANASOOYA ASANA
1. Stay on the floor
2. Bend the left knee and place the right knee on the left knee
3. Rest both the feet on the floor adjacent to the hips
4. Hold the right foot with the left hand and vice versa
5. Gaze at the tip of the nose 
6. Remain in this pose 30 seconds","2. KAPAALABHAATI
1. Breath out short and fast as you pull your abdomen in and up.
2. Allow the body to inhale by itself
3. Do this 21 times 
IN ANASOOYA ASANA, NEXT","3. LAHARI PRAANAAYAAMAA
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this 21 times","4. ANDOLI PRAANAAYAAMAA
1. As you Breath roll your tongue
2. Breath through your nose and mouth
457
3. When you feel full close the mouth by rolling the tongue and touching the top of the mouth
4. Retain the breath as long as you can
5. When you feel you are not able to retain slowly exhale
Repeat this 21 times",,,,,,,,,,
97,Care For Sinusitis,,"1. VAJRA ASANA
2. PRAKRITHI KUMBHAKA
3. AGNEESHOMA KUMBHKA
4. UJJAYEE KUMBHKA
5. KUMBHA RAAJAA KUMBHKA
6. SEETHKAAREE KUMBHAKA","1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2.PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times","3. AGNEESHOMA KUMBHKA
1. Inhale through the right nostril
2. Hold the breath
3. Exhale through the left nostril
4. Now inhale through left nostril 
5. Hold the breath
6. Exhale through right nostril.
7. Do this 21 times","4. UJJAYEE KUMBHKA 
1. Close your Mouth
2. Inhale through both the nostrils
3. Hold as long as you can judiciously
4. Exhale slowly through the left nostril
5. Do this 21 times","5. KUMBHA RAAJAA KUMBHKA 
1. Inhale forcefully 
2. Hold the breath to the maximum capacity by closing the nostrils
3. Exhale when you feel you can not hold more.
4. Do this 21 times","6. SEETHKAAREE KUMBHAKA
1. Turn and raise the tounge upwards
2. Inhale the breath with a sound “seeth”(hiss) and be aware of the tounge and the hissing sound 
created by the air going in
3. Hold the breath as long as you can judiciously
4. Exhale through both the nostrils slowly
5. Do this 21 times",,,,,,,,
98,Cure For Sinusitis,,"1. VRISHCHIKASANA 
2. PRAKRITHI KUMBHAKA 
3. AGNEE SOMA KUMBHAKA 
4. UJJAYEE KUMBHAKA 
5. KUMBHA RAAJAA KUMBHAKA 
6. SEETHKAAREE KUMBHAKA","1. VRISHCHIKASANA 
1. Take a kneeling down position on the floor 
2. Lean forward and place elbows and hands on the ground 
3. Raise both legs up
4. Bend them backwards 
5. Touch your head with your feet 
6. Raise the chin up 
7. Stay in this posture for 30 seconds","2.PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times","3. AGNEESHOMA KUMBHKA
1. Inhale through the right nostril
2. Hold the breath
3. Exhale through the left nostril
4. Now inhale through left nostril 
5. Hold the breath
6. Exhale through right nostril.
7. Do this 21 times","4. UJJAYEE KUMBHKA 
1. Close your Mouth
2. Inhale through both the nostrils
3. Hold as long as you can judiciously
4. Exhale slowly through the left nostril
5. Do this 21 times","5. KUMBHA RAAJAA KUMBHKA 
1. Inhale forcefully 
2. Hold the breath to the maximum capacity by closing the nostrils
3. Exhale when you feel you can not hold more.
4. Do this 21 times","6. SEETHKAAREE KUMBHAKA
1. Turn and raise the tounge upwards
2. Inhale the breath with a sound “seeth”(hiss) and be aware of the tounge and the hissing sound 
created by the air going in
3. Hold the breath as long as you can judiciously
4. Exhale through both the nostrils slowly
5. Do this 21 times",,,,,,,,
99,Care For Skin Problems,,"1. MAAKADA ASANA
2. SHANTHA KUMBHAKA
3. SEETHKAAREE KUMBHAKA
4. BHASTRIKAA KUMBHAKA
5. TRINETRA KUMBHAKA
6. TRISHOOLA KUMBHAKA","1. MAAKADA ASANA
1. Come to a full squat position
2. Rest the knees on the floor and spread the knees a little apart
3. Stay on the heels with the heels raised off the ground
4. Keep the toes pointing downwards
5. Raise the arms, cross them and place them behind the head
6. Fix the gaze at the eyebrow center
7. Settle in this posture for 30 seconds","2. SHANTHA KUMBHAKA
1. Inhale deeply and hold the breath inside
2. Visualize the breath inside and outside the body
470
3. Hold as long as possible
4. Relax when you can not hold any more
5. Do this 21 times","3. SEETHKAAREE KUMBHAKA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. BHASTRIKAA KUMBHAKA
1. Inhale slowly expanding the stomach
2. Exhale slowly
3. Do this 21 times
4. After 21 times, Now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you cant hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times","5. TRINETRA KUMBHAKA 
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times","6. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times",,,,,,,,
100,Cure For Skin Problems,,"1. PADMA ASANA
2. GADAA KUMBHAKA
3. TATTVA KUMBHAKA
4. SURYA BHEDANA KUMBHAKA
5. CHANDRA BHEDANA KUMBHAKA
6. UJJAAYEE KUMBHAKA","1. PADMA ASANA
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","2. GADAA KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times","3. TATTVA KUMBHAKA
1. Remain in the same posture
2. Inhale and hold the breath as long as possible
3. As you hold visualize your skin is getting cured
4. Visualize the skin is completely cured and this visualization is called as tattva
5. When you cannot hold anymore slowly exhale
6. Do this 21 times","4. SURYA BHEDANA KUMBHAKA 
1. Inhale with sound through the right nostril till the throat gets filled
2. Hold as long as possible
3. Then slowly exhale through the left nostril
4. Do this 21 times","5. CHANDRA BHEDANA KUMBHAKA 
1. Inhale through the left nostril completely
2. Hold as long as you can judiciously
3. Exhale as slowly as you can through the right nostril
4. Do this 21 times","6. UJJAAYEE KUMBHAKA
1. Close your Mouth
2. Inhale through both the nostrils
3. Hold as long as you can judiciously
478
4. Exhale slowly through the left nostril
5. Do this 21 times",,,,,,,,
101,Care For Stiff Knees & Knee Pain,,"1. DURVAASA ASANA
2. NAAGA KUMBHAKA
3. BHRAAMAREE KUMBHAKA
4. KUMUDA KUMBHAKA","1. DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds","2. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","3. BHRAAMAREE KUMBHAKA
1. Inhale rapidly with the sound ‘mmm’ of a bee
2. Hold 
3. Exhale steadily and slowly with the sound of a ‘mmm’ of a bee
4. Do this 21 times","4. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times",,,,,,,,,,
